evaluation_id,actual_category,predicted_category,count
eval_001,cs.CV,cs.CV,87
eval_001,cs.CV,cs.LG,5
eval_001,cs.CV,cs.CL,2
eval_001,cs.CV,cs.AI,3
eval_001,cs.CV,cs.NE,1
eval_001,cs.CV,cs.RO,1
eval_001,cs.CV,cs.IR,1
eval_001,cs.CV,cs.MA,0
eval_001,cs.LG,cs.CV,4
eval_001,cs.LG,cs.LG,86
eval_001,cs.LG,cs.CL,2
eval_001,cs.LG,cs.AI,3
eval_001,cs.LG,cs.NE,2
eval_001,cs.LG,cs.RO,1
eval_001,cs.LG,cs.IR,1
eval_001,cs.LG,cs.MA,1
eval_001,cs.CL,cs.CV,1
eval_001,cs.CL,cs.LG,3
eval_001,cs.CL,cs.CL,84
eval_001,cs.CL,cs.AI,4
eval_001,cs.CL,cs.NE,1
eval_001,cs.CL,cs.RO,1
eval_001,cs.CL,cs.IR,4
eval_001,cs.CL,cs.MA,2
eval_001,cs.AI,cs.CV,2
eval_001,cs.AI,cs.LG,4
eval_001,cs.AI,cs.CL,2
eval_001,cs.AI,cs.AI,87
eval_001,cs.AI,cs.NE,2
eval_001,cs.AI,cs.RO,1
eval_001,cs.AI,cs.IR,1
eval_001,cs.AI,cs.MA,1
eval_001,cs.NE,cs.CV,1
eval_001,cs.NE,cs.LG,3
eval_001,cs.NE,cs.CL,2
eval_001,cs.NE,cs.AI,4
eval_001,cs.NE,cs.NE,84
eval_001,cs.NE,cs.RO,2
eval_001,cs.NE,cs.IR,2
eval_001,cs.NE,cs.MA,2
eval_001,cs.RO,cs.CV,1
eval_001,cs.RO,cs.LG,1
eval_001,cs.RO,cs.CL,2
eval_001,cs.RO,cs.AI,3
eval_001,cs.RO,cs.NE,3
eval_001,cs.RO,cs.RO,84
eval_001,cs.RO,cs.IR,3
eval_001,cs.RO,cs.MA,3
eval_001,cs.IR,cs.CV,1
eval_001,cs.IR,cs.LG,2
eval_001,cs.IR,cs.CL,4
eval_001,cs.IR,cs.AI,2
eval_001,cs.IR,cs.NE,2
eval_001,cs.IR,cs.RO,4
eval_001,cs.IR,cs.IR,81
eval_001,cs.IR,cs.MA,4
eval_001,cs.MA,cs.CV,1
eval_001,cs.MA,cs.LG,2
eval_001,cs.MA,cs.CL,3
eval_001,cs.MA,cs.AI,3
eval_001,cs.MA,cs.NE,3
eval_001,cs.MA,cs.RO,4
eval_001,cs.MA,cs.IR,4
eval_001,cs.MA,cs.MA,80
