citation_id,citing_arxiv_id,citing_primary_category,split
1606.08008::p7,1606.08008,cs.CV,train
1702.08634::p15,1702.08634,cs.CV,train
1304.3192::p34,1304.3192,cs.CV,test
1705.02680::p34,1705.02680,cs.CV,train
1704.05959::p60,1704.05959,cs.CV,train
1411.1442::p12,1411.1442,cs.CV,val
1704.06040::p16,1704.06040,cs.CV,test
1708.00786::p41,1708.00786,cs.CV,train
1705.08550::p25,1705.08550,cs.CV,train
1709.00753::p2,1709.00753,cs.CV,train
1706.01159::p0,1706.01159,cs.CV,train
1701.06944::p5,1701.06944,cs.CV,train
1407.3176::p10,1407.3176,cs.CV,train
1706.02715::p0,1706.02715,cs.CV,val
1705.01908::p2,1705.01908,cs.CV,test
1709.08203::p38,1709.08203,cs.CV,train
1101.5785::p100,1101.5785,cs.CV,train
1610.02055::p9,1610.02055,cs.CV,train
1611.06678::p42,1611.06678,cs.CV,train
1704.07490::p12,1704.07490,cs.CV,train
1608.09005::p0,1608.09005,cs.CV,train
1701.05703::p10,1701.05703,cs.CV,train
1704.06040::p9,1704.06040,cs.CV,test
1611.06962::p15,1611.06962,cs.CV,train
1603.02252::p29,1603.02252,cs.CV,test
1703.07195::p2,1703.07195,cs.CV,train
0810.5573::p53,0810.5573,cs.CV,train
1608.09005::p1,1608.09005,cs.CV,train
1407.3193::p2,1407.3193,cs.CV,train
1505.07930::p26,1505.07930,cs.CV,train
1506.06882::p49,1506.06882,cs.CV,test
1606.08008::p93,1606.08008,cs.CV,train
1101.5785::p174,1101.5785,cs.CV,train
1611.08258::p8,1611.08258,cs.CV,test
1010.0417::p51,1010.0417,cs.CV,train
1709.03199::p8,1709.03199,cs.CV,train
1708.00786::p35,1708.00786,cs.CV,train
1611.06301::p16,1611.06301,cs.CV,val
1504.03967::p14,1504.03967,cs.CV,val
1506.06448::p8,1506.06448,cs.CV,train
1605.02289::p16,1605.02289,cs.CV,test
1701.04769::p36,1701.04769,cs.CV,val
1607.05969::p1,1607.05969,cs.CV,test
1406.4112::p33,1406.4112,cs.CV,train
1607.06416::p6,1607.06416,cs.CV,test
1705.02680::p31,1705.02680,cs.CV,train
1403.3829::p36,1403.3829,cs.CV,train
1705.08302::p1,1705.08302,cs.CV,train
1309.7912::p22,1309.7912,cs.CV,train
1607.04593::p5,1607.04593,cs.CV,train
1601.06615::p43,1601.06615,cs.CV,val
1407.3176::p2,1407.3176,cs.CV,train
1605.02289::p7,1605.02289,cs.CV,test
1705.08302::p56,1705.08302,cs.CV,train
1407.3193::p6,1407.3193,cs.CV,train
1605.03428::p16,1605.03428,cs.CV,train
1703.00297::p13,1703.00297,cs.CV,train
1610.06669::p28,1610.06669,cs.CV,train
1412.7854::p6,1412.7854,cs.CV,val
1707.01408::p28,1707.01408,cs.CV,val
1706.07156::p5,1706.07156,cs.CV,train
1504.03967::p5,1504.03967,cs.CV,val
1409.3906::p15,1409.3906,cs.CV,train
1604.02115::p3,1604.02115,cs.CV,train
1410.3905::p37,1410.3905,cs.CV,test
1704.07709::p22,1704.07709,cs.CV,val
1710.08092::p1,1710.08092,cs.CV,train
1605.02289::p54,1605.02289,cs.CV,test
1602.03346::p16,1602.03346,cs.CV,val
1511.04902::p8,1511.04902,cs.CV,train
1705.05512::p8,1705.05512,cs.CV,train
1511.04902::p13,1511.04902,cs.CV,train
1101.5785::p76,1101.5785,cs.CV,train
1612.00814::p21,1612.00814,cs.CV,train
1603.06554::p8,1603.06554,cs.CV,train
1604.02115::p34,1604.02115,cs.CV,train
1705.02544::p5,1705.02544,cs.CV,train
1602.08127::p1,1602.08127,cs.CV,val
1706.05461::p6,1706.05461,cs.CV,train
1506.06448::p10,1506.06448,cs.CV,train
1702.02925::p22,1702.02925,cs.CV,val
1101.5785::p133,1101.5785,cs.CV,train
1706.07156::p6,1706.07156,cs.CV,train
1707.07890::p9,1707.07890,cs.CV,test
1707.06557::p56,1707.06557,cs.CV,train
1710.07558::p42,1710.07558,cs.CV,train
1607.04609::p6,1607.04609,cs.CV,train
1605.03428::p18,1605.03428,cs.CV,train
1707.02637::p1,1707.02637,cs.CV,test
1706.03686::p3,1706.03686,cs.CV,test
1304.5063::p4,1304.5063,cs.CV,train
1704.06040::p2,1704.06040,cs.CV,test
1704.05959::p11,1704.05959,cs.CV,train
